text,topic,topic_id
dallaglio man controversy lawrence dallaglio away international career nine-year career just start season dallaglio man international scene dallaglio england dallaglio wrong period success england dallaglio glory win rugby world cup rival fan tend view see dallaglio english rugby speak referee opposition pitch coach media dallaglio people wrong way dallaglio england winners rugby sevens world cup take england prove bear display power dallaglio choice able play international debut dallaglio offer england captain band career continue strength strength lions tour captaincy england team-mate martin johnson play role series victory dallaglio career hit speed last-minute defeat wales dallaglio kick goal die minutes cost england grand slam cost treasure england captaincy drug use clear page dallaglio england skipper get club level return england captain johnson member new-look england road world cup glory grand slam dallaglio performer knee injury cut dallaglio lions tour australia circulate career dallaglio return fearsome injury dallaglio pace quarter number player play minute england world cup triumph australia dallaglio england win england johnson dallaglio career woodward england captain england do hit dallaglio second captain lose cup test dallaglio members squad world cup star live expectations dallaglio away international game england players great captain country problem england like matt dawson jonny wilkinson phil vickery hill dallaglio role captain player england really -year-old players like joe worsley chris jones capable candidate speak dallaglio english rugby,sport,0
best person legal job best person job appoint lord chancellor mp minister tell mps reform lord chancellor judicial function lord need secretary health need minister leslie constitutional reform second read monday mr leslie prime minister able appoint best person job sit house lord house commons reform law lord uk legal authority judge appoint independent minister december lord reject lord chancellor lord falconer job peer peer vote law lord peer debate parliamentary general election government mr leslie call secretary state constitutional affairs lord chancellor matter reform conflict government minister judge shadow general grieve criticise government plan change provide champion independence government propose mr grieve convention celebrate government warn unless minister back lord chancellor remain member house lord government great get parliament cabinet minister douglas father serve lord chancellor bureaucratic expensive tory mp admit lord chancellor role office freeze,politics,1
viewers able tv edit watch just favourite bits cut star war favourite film movie just euro project fund european union media development media genre allow audiences create media base interest viewers able prop tv show bt project software design spot picture software use content three-year project work productions develop software tool allow viewers edit content need productions television drive text message tv audience text select impact character drama interact develop show finnish tv audiences team work bbc budget drama allow people variety edit versions bbc allow access material prove technology dr williams bt technical project manager tv box project machine look content like interactive game limit form interactive tv mean allow audiences vote show space co-ordinator genre alter role audience viewers able interact directly accord personal media users viewers active tool sophisticate rule edit john tv producer television limit project just matter romantic production mr tool know bits fit visually rule edit story version please mr plan production golden age art allow viewers create so-called media world base areas music architecture productions team range news romantic comedy drama,tech,2
fox attack blair tory tony blair take uk war election campaign tories tory co-chairman liam fox speak mr blair tell labour members tories offer hard right agenda dr fox tell bbc radio will go war go report party lord ashcroft predict election defeat prime minister ratchet labour pre-election campaign weekend tour country speech party spring conference insist do know poll expect see personal speech gateshead sunday mr blair down street describe public start live expectations point raise voice warn country britain people britain win mr blair public michael howard mr kennedy tory government labour government country go do forward dr fox accuse mr blair cabinet minister tell policies attack learn weekend labour go go smear tell bbc news tory co-chairman attack labour pledge mr blair voters deliver dr fox weekend report party tory treasurer lord ashcroft party win election loan comment financial matter insist lord ashcroft lib dem leader charles kennedy expect attack mr blair tour monday mr kennedy lib dem election manchester liverpool leicester somerset shrewsbury dorset politics labour liberal democrats rural seat west liberal democrats conservatives scotland wales lib dems accuse mr blair speech labour delegate help public trust,politics,1
microsoft debut security tool microsoft release tool pcs harbour viruses spyware program update precursor microsoft release dedicate anti-virus software release software utility help users remove spyware home computer free think soon microsoft users anti-spyware tool anti-spyware tool available anti-virus utility expect available month microsoft windows operate favourite people write computer viruses ubiquitous exploit prove target think viruses malicious program existence latest research suggest variants viruses rate spyware surreptitious software sneak home computers users form just bombard users advert hijack web browser settings malicious form steal information log keystroke users survey show pcs infest spyware research technology firm earthlink webroot windows machine malicious software board average harbour spyware program microsoft market pc security software firm symantec trend virus program stop machine infect remove need anti-virus program spyware available program ad-aware spybot use people keen latest variants microsoft security tool company buy firm software anti-virus technology december buy york-based anti-spyware firm giant company software year microsoft release upgrade windows xp security software easier people manage anti-virus firewall program,tech,2
dollar hit low euro dollar continue record-breaking slide low euro investors european central bank ecb weaken euro think decline dollar trade deficit analysts ways fund allow dollar predict dollar likely fall currency trade euro monday compare euro trade york record low dollar weaken sharply trade euro lose year japanese yen traders trade level monday go [the way bank measure number party will trade market half work traders,business,3
kennedy address charles kennedy address people ethnic minority voters liberal democrat leader west london labour claim vote britain ethnic minorities mr kennedy people race iraq war tackle terrorism saturday speech lib dems launch ethnic minority mr kennedy tell audience people britain race culture way take war iraq stand liberal democrats take lib dems want britain world stage international poverty climate change protect human right mr kennedy tackle terrorism mean tough measure britain people legal right like happen belmarsh mean act unite nations terrorism mr kennedy tony blair government plan terror suspect house arrest prime minister offer address concern plan lord conservative lib dem opposition continue,politics,1
chepkemei edinburgh line-up chepkemei decide fit month great edinburgh international cross country kenyan recover paula radcliffe york marathon compete world cross country champion johnson race director turnbull strength world-class chepkemei win event stag newcastle epic radcliffe apple briton final dibaba defend title win year race move european cross country champion briton hayley yell compete edinburgh january do in-form scot,sport,0
rule justice department try rule claim tobacco firm month three-judge reject claim file administration government ask case see government clear law school government expect ask prosecutors argue tobacco firm research look increase level target young advert firm accuse altria group tobacco tobacco group brown prosecutors go company use legislation place crime accuse firm organisations tobacco company deny fool public meet government demand settlement state three-judge agree company find case federal laws central government case meet hotel york december prosecutors executives tobacco firm meet agree unify strategy deny deny link company recent altria company main tell bbc year wrong government file,business,3
tories pledge free sport children offer free sport train tory government party policy provide local sport club uk deliver sport coach fund sport children school shadow home secretary david davis million children deny sport plan help tackle grow rate develop world shadow sport minister lord policy local club create last aim sport away teachers school directly sport club uk tories labour plan children sport school fail government figure england school stag school stage meet target tories claim prime minister pledge invest school sport facilities spend fund capital project confident year,politics,1
